fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,tiene_matricula,m_confianza,mx1,my1,mx2,my2
1,GUAGUA,0.94,1,1402,52,1918,476,False,,,,,
1,COCHE,0.85,2,1321,312,1398,371,False,,,,,
2,GUAGUA,0.94,1,1402,56,1918,471,False,,,,,
2,COCHE,0.82,2,1321,312,1397,371,False,,,,,
3,GUAGUA,0.94,1,1395,63,1918,467,False,,,,,
3,COCHE,0.82,2,1320,312,1395,371,False,,,,,
4,GUAGUA,0.9,1,1389,67,1918,466,False,,,,,
4,COCHE,0.84,2,1318,312,1395,371,False,,,,,
5,GUAGUA,0.93,1,1390,72,1918,464,False,,,,,
5,COCHE,0.82,2,1316,312,1394,371,False,,,,,
6,GUAGUA,0.94,1,1392,76,1918,462,True,0.31,1822,326,1884,497
6,COCHE,0.81,2,1316,312,1392,370,False,,,,,
7,GUAGUA,0.94,1,1391,79,1918,461,False,,,,,
7,COCHE,0.8,2,1316,312,1390,370,True,0.28,1349,47,1368,678
8,GUAGUA,0.94,1,1388,84,1918,458,True,0.28,1794,317,1854,501
8,COCHE,0.79,2,1314,312,1389,369,False,,,,,
9,GUAGUA,0.94,1,1386,88,1918,457,False,,,,,
9,COCHE,0.79,2,1313,312,1387,368,False,,,,,
10,GUAGUA,0.95,1,1383,92,1918,457,False,,,,,
10,COCHE,0.81,2,1311,312,1386,368,False,,,,,
11,GUAGUA,0.94,1,1382,96,1918,456,False,,,,,
11,COCHE,0.81,2,1310,312,1385,367,False,,,,,
12,GUAGUA,0.93,1,1382,97,1918,455,False,,,,,
12,COCHE,0.79,2,1309,312,1384,368,True,0.3,1347,24,1365,653
13,GUAGUA,0.94,1,1382,101,1915,453,False,,,,,
13,COCHE,0.79,2,1309,312,1382,368,False,,,,,
14,GUAGUA,0.93,1,1381,104,1903,451,False,,,,,
14,COCHE,0.8,2,1309,312,1380,368,False,,,,,
15,GUAGUA,0.92,1,1380,107,1889,451,False,,,,,
15,COCHE,0.78,2,1309,312,1378,368,False,,,,,
16,GUAGUA,0.93,1,1378,111,1872,450,False,,,,,
16,COCHE,0.78,2,1308,312,1375,367,False,,,,,
17,GUAGUA,0.92,1,1376,114,1866,449,False,,,,,
17,COCHE,0.79,2,1308,313,1374,367,False,,,,,
18,GUAGUA,0.91,1,1376,117,1858,450,False,,,,,
18,COCHE,0.78,2,1308,313,1373,366,False,,,,,
19,GUAGUA,0.92,1,1375,121,1840,448,False,,,,,
19,COCHE,0.77,2,1308,313,1372,367,False,,,,,
20,GUAGUA,0.93,1,1374,125,1826,446,False,,,,,
20,COCHE,0.79,2,1308,314,1370,367,False,,,,,
21,GUAGUA,0.92,1,1372,127,1816,444,False,,,,,
21,COCHE,0.76,2,1308,313,1369,368,False,,,,,
22,GUAGUA,0.92,1,1371,132,1809,442,False,,,,,
22,COCHE,0.74,2,1308,313,1368,368,False,,,,,
23,GUAGUA,0.92,1,1369,135,1808,442,False,,,,,
23,COCHE,0.75,2,1308,313,1366,367,False,,,,,
24,GUAGUA,0.91,1,1369,140,1804,441,False,,,,,
24,COCHE,0.72,2,1308,313,1366,366,False,,,,,
25,GUAGUA,0.89,1,1368,142,1787,441,False,,,,,
